id,title,year,directors,writers,date_in_theaters,duration,genres,actors
6564,Silent Running,1972,Douglas Trumbull,"Deric Washburn,Michael Cimino",03/10/1972,89,"Drama,Science Fiction & Fantasy","Bruce Dern,Cliff Potts,Ron Rifkin"
6565,Klute,1971,Alan J. Pakula,"Andy Lewis,David E. Lewis",06/25/1971,114,"Thriller,Crime,Mystery & Suspense","Jane Fonda,Donald Sutherland,Charles Cioffi"
6566,"Faster, Pussycat! Kill! Kill!",1965,Russ Meyer,"Jackie Moran,Russ Meyer",08/06/1965,83,"Action & Adventure,Comedy","Tura Satana,Haji,Lori Williams"
6567,Flash Gordon,1980,Mike Hodges,"Lorenzo Semple Jr.,Michael Allin",12/05/1980,111,"Science Fiction & Fantasy,Action & Adventure","Sam J. Jones,Melody Anderson,Max von Sydow"
6568,Into the Woods,2014,Rob Marshall,"James Lapine,Stephen Sondheim",12/25/2014,125,"Drama,Action & Adventure,Comedy","Anna Kendrick,Meryl Streep,Chris Pine"
6569,The Devil Wears Prada,2006,David Frankel,"Aline Brosh McKenna,Lauren Weisberger",06/30/2006,109,"Drama,Comedy","Anne Hathaway,Meryl Streep,Adrian Grenier"
6570,27 Dresses,2008,Anne Fletcher,Aline Brosh McKenna,01/18/2008,111,"Romance,Comedy","Katherine Heigl,James Marsden,Malin Akerman"
6571,10 Things I Hate About You,1999,Gil Junger,"Karen McCullah,Kirsten Smith",03/31/1999,97,"Drama,Romance,Comedy","Heath Ledger,Julia Stiles,Joseph Gordon-Levitt"
6572,She's the Man,2006,Andy Fickman,"Ewan Leslie,Karen McCullah",03/17/2006,105,"Romance,Sports & Fitness,Comedy","Amanda Bynes,Laura Ramsey,Channing Tatum"
6573,Friends with Benefits,2011,Will Gluck,"Keith Merryman,David A. Newman",07/22/2011,109,"Romance,Comedy","Mila Kunis,Justin Timberlake,Patricia Clarkson"
6574,Easy A,2010,Will Gluck,Bert V. Royal,09/17/2010,92,"Drama,Romance,Comedy","Emma Stone,Amanda Bynes,Penn Badgley"
6575,The DUFF,2015,Ari Sandel,"Josh A. Cagan,Kody Keplinger",02/20/2015,101,Comedy,"Mae Whitman,Bella Thorne,Robbie Amell"
6576,Mean Girls,2004,Mark Waters,"Rosalind Wiseman,Tina Fey",04/30/2004,97,Comedy,"Lindsay Lohan,Jonathan Bennett,Rachel McAdams"
6577,The Bank Job,2008,Roger Donaldson,"Dick Clement,Ian La Frenais",03/07/2008,111,"Drama,Romance,Crime","Jason Statham,Saffron Burrows,Stephen Campbell Moore"
6578,Crank: High Voltage,2009,"Mark Neveldine,Brian Taylor","Mark Neveldine,Brian Taylor",04/17/2009,96,"Thriller,Crime,Action & Adventure","Jason Statham,Amy Smart,Clifton Collins Jr."
6579,The Mask You Live In,2015,Jennifer Siebel Newsom,"Jessica Congdon,Jennifer Siebel Newsom",01/25/2015,97,"Documentary,News",Caroline Heldman
6580,War,2007,Philip G. Atwell,"Lee Anthony Smith,Gregory J. Bradley",08/24/2007,103,"Thriller,Crime,Action & Adventure","Jet Li,Jason Statham,Nadine Velazquez"
6581,Crank,2006,"Mark Neveldine,Brian Taylor","Mark Neveldine,Brian Taylor",09/01/2006,88,"Thriller,Crime,Action & Adventure","Jason Statham,Amy Smart,Carlos Sanz"
6582,Redemption,2013,Steven Knight,Steven Knight,06/28/2013,100,"Drama,Crime,Action & Adventure","Jason Statham,Agata Buzek,Vicky McClure"
6583,Homefront,2013,Gary Fleder,"Sylvester Stallone,Chuck Logan",11/27/2013,100,"Drama,Crime,Action & Adventure","Jason Statham,James Franco,Winona Ryder"
6584,Killer Elite,2011,Gary McKendry,"Matt Sherring,Ranulph Fiennes",09/23/2011,116,"Thriller,Crime,Action & Adventure","Jason Statham,Clive Owen,Robert De Niro"
6585,Blitz,2011,Elliott Lester,"Nathan Parker,Ken Bruen",05/20/2011,97,"Thriller,Crime,Action & Adventure","Jason Statham,Paddy Considine,Aidan Gillen"
6586,Parker,2013,Taylor Hackford,"John J. McLaughlin,Donald E. Westlake",01/25/2013,118,"Romance,Crime,Action & Adventure","Jason Statham,Jennifer Lopez,Michael Chiklis"
6587,Episode #1.2,2014,Tuomas Summanen,"Mikko Kosonen,Jenni Pskysaari",10/10/2014,85,"Television,Comedy","Jare Brand,Ville Galle,Renny Harlin"
6588,Kickboxer: Vengeance,2016,John Stockwell,"Dimitri Logothetis,Jim McGrath",09/02/2016,90,Action & Adventure,"Dave Bautista,Alain Moussi,Gina Carano"
6589,Swiss Army Man,2016,,Brad Jones,07/07/2016,27,"Television,Comedy","David Gobble,Brad Jones"
6590,Episode #8.111,2014,,"Sue Murphy,Jamie Schaecher",07/23/2014,22,"Television,Comedy","Chuy Bravo,Chris Franjola,Frank Grillo"
6591,The Shallows,2016,,Brad Jones,06/30/2016,21,"Television,Comedy","Brad Jones,Leslie Shields Jones"
6592,N.S.A. (No Snoops Allowed),2016,Joseph Daniello,"Seth MacFarlane,Mike Barker",02/15/2016,21,"Animation,Comedy","Seth MacFarlane,Wendy Schaal,Scott Grimes"
6593,The Maze Runner,2014,Wes Ball,"Noah Oppenheim,Grant Pierce Myers",09/19/2014,113,"Science Fiction & Fantasy,Action & Adventure,Mystery & Suspense","Dylan O'Brien,Kaya Scodelario,Will Poulter"
6594,Mama,2013,Andrs Muschietti,"Andrs Muschietti,Barbara Muschietti",01/18/2013,100,"Science Fiction & Fantasy,Horror","Jessica Chastain,Nikolaj Coster-Waldau,Megan Charpentier"
6595,The Cabin in the Woods,2012,Drew Goddard,"Joss Whedon,Drew Goddard",04/13/2012,95,"Science Fiction & Fantasy,Mystery & Suspense,Horror","Kristen Connolly,Chris Hemsworth,Anna Hutchison"
6596,Insidious: Chapter 3,2015,Leigh Whannell,"Leigh Whannell,Leigh Whannell",06/05/2015,97,"Science Fiction & Fantasy,Thriller,Horror","Dermot Mulroney,Stefanie Scott,Angus Sampson"
6597,Annabelle,2014,John R. Leonetti,Gary Dauberman,10/03/2014,99,"Mystery & Suspense,Horror","Ward Horton,Annabelle Wallis,Alfre Woodard"
6598,Insidious,2011,James Wan,Leigh Whannell,04/01/2011,103,"Science Fiction & Fantasy,Mystery & Suspense,Horror","Patrick Wilson,Rose Byrne,Ty Simpkins"
6599,Insidious: Chapter 2,2013,James Wan,"Leigh Whannell,James Wan",09/13/2013,106,"Science Fiction & Fantasy,Thriller,Horror","Patrick Wilson,Rose Byrne,Barbara Hershey"
6600,Ban-chang-ggo,2012,Gi-hoon Jeong,"Gi-hoon Jeong,Sang-min Park",12/19/2012,120,"Drama,Romance,Comedy","Soo Go,Hyo-ju Han,Jyu-ni Hyun"
6601,Sinister,2012,Scott Derrickson,"Scott Derrickson,C. Robert Cargill",10/12/2012,110,"Mystery & Suspense,Horror","Ethan Hawke,Juliet Rylance,James Ransone"
6602,Cyrano Agency,2010,Hyun-seok Kim,,09/16/2010,119,"Romance,Comedy","Tae-woong Eom,Min-jung Lee,Daniel Choi"
6603,The 1st Shop of Coffee Prince,2007,,,07/02/2007,,"Drama,Romance,Comedy","Yoo Gong,Eun-hye Yun,Sun-kyun Lee"
6604,Whatcha Wearin'?,2012,Sung-hyun Byun,"Sung-hyun Byun,Min-su Kim",12/06/2012,114,"Romance,Comedy","Seong Ji,Ah-jung Kim,So-yul Shin"
6605,Big,2012,,,06/04/2012,,Drama,"Seong-hyeon Baek,Yoo Gong,Shin Won Ho"
6606,All About My Wife,2012,Kyu-dong Min,"Pablo Solarz,Kyu-dong Min",05/17/2012,121,"Drama,Romance,Comedy","Jeong-tae Kim,Kwang Soo Lee,Sun-kyun Lee"
6607,Spellbound,2011,In-ho Hwang,In-ho Hwang,12/01/2011,114,"Romance,Horror,Comedy","Ye-jin Son,Min-ki Lee,Seong-hoon Sin"
6608,Episode #8.29,2016,,,09/01/2016,40,Television,"Philip Freriks,Wytse van der Goot,Franois Boulang"
6609,Mortal Kombat,1992,,,10/08/1992,,Action & Adventure,"Dan Pesina,Richard Divizio,Carlos Pesina"
6610,Kate & Leopold,2001,James Mangold,"Steven Rogers,James Mangold",12/25/2001,118,"Science Fiction & Fantasy,Romance,Comedy","Meg Ryan,Hugh Jackman,Liev Schreiber"
6611,An Honest Liar,2014,"Tyler Measom,Justin Weinstein","Tyler Measom,Greg O'Toole",11/02/2014,90,"Documentary,Comedy,Biography","James Randi,Deyvi Pea,Penn Jillette"
6612,Next,2007,Lee Tamahori,"Gary Goldman,Jonathan Hensleigh",04/27/2007,96,"Science Fiction & Fantasy,Thriller,Action & Adventure","Nicolas Cage,Julianne Moore,Jessica Biel"
6613,The Chorus,2004,Christophe Barratier,"Georges Chaperot,Ren Wheeler",03/17/2004,97,"Drama,Musical & Performing Arts","Grard Jugnot,Franois Berland,Jean-Baptiste Maunier"
6614,Step Up Revolution,2012,Scott Speer,"Amanda Brody,Duane Adler",07/27/2012,99,"Drama,Romance,Musical & Performing Arts","Kathryn McCormick,Ryan Guzman,Cleopatra Coleman"
6615,Splash,1984,Ron Howard,"Brian Grazer,Bruce Jay Friedman",03/09/1984,111,"Science Fiction & Fantasy,Romance,Comedy","Tom Hanks,Daryl Hannah,Eugene Levy"
6616,The Marrying Man,1991,Jerry Rees,Neil Simon,04/05/1991,115,"Romance,Musical & Performing Arts,Comedy","Kim Basinger,Alec Baldwin,Robert Loggia"
6617,Masquerade,2012,Chang-min Choo,"Jo-yun Hwang,Chang-min Choo",09/13/2012,131,"Drama,History","Byung-hun Lee,Seung-ryong Ryu,Hyo-ju Han"
6618,Secret,2007,Jay Chou,"Jay Chou,Chi-long To",07/27/2007,101,"Drama,Science Fiction & Fantasy,Musical & Performing Arts","Jay Chou,Lun Mei Gwei,Anthony Chau-Sang Wong"
6619,Microcosmos,1996,"Claude Nuridsany,Marie Prennou","Claude Nuridsany,Marie Prennou",09/06/1996,80,Documentary,"Kristin Scott Thomas,Jacques Perrin"
6620,Willy Wonka & the Chocolate Factory/Blazing Saddles,2016,,,09/06/2016,37,"Television,Comedy","David Gobble,Brad Jones"
6621,Take Off,2009,Yong-hwa Kim,Yong-hwa Kim,07/29/2009,137,"Drama,Sports & Fitness","Jung-woo Ha,Dong-il Sung,Ji-seok Kim"
6622,"The Path to Vengeance: Making 'Ghost Rider, Spirit of Vengeance'",2012,,,06/12/2012,90,Documentary,"Ashok Amritraj,Ari Arad,Avi Arad"
6623,Punisher: War Zone,2008,Lexi Alexander,"Nick Santora,Art Marcum",12/05/2008,103,"Drama,Crime,Action & Adventure","Ray Stevenson,Dominic West,Julie Benz"
6624,Drive Angry,2011,Patrick Lussier,"Todd Farmer,Patrick Lussier",02/25/2011,104,"Science Fiction & Fantasy,Thriller,Action & Adventure","Nicolas Cage,Amber Heard,William Fichtner"
6625,Exit Through the Gift Shop,2010,Banksy,,05/14/2010,87,"Documentary,Crime,Comedy","Banksy,Space Invader,Mr. Brainwash"
6626,We Are Legion: The Story of the Hacktivists,2012,Brian Knappenberger,Brian Knappenberger,10/30/2012,93,Documentary,"Anon2World,Anonyops,Julian Assange"
6627,Deep Web,2015,Alex Winter,Alex Winter,11/21/2015,90,Documentary,"Nicolas Christin,Cindy Cohn,Joshua L. Dratel"
6628,Season of the Witch,2011,Dominic Sena,Bragi F. Schut,01/07/2011,95,"Science Fiction & Fantasy,Action & Adventure","Nicolas Cage,Ron Perlman,Claire Foy"
6629,The Oath,2010,Laura Poitras,,January 2010,90,Documentary,"Osama bin Laden,Salim Hamdan,Abu Jandal"
6630,We Steal Secrets: The Story of WikiLeaks,2013,Alex Gibney,Alex Gibney,07/11/2013,130,Documentary,"Julian Assange,Adrian Lamo,John 'FuzzFace' McMahon"
6631,TPB AFK: The Pirate Bay Away from Keyboard,2013,Simon Klose,,02/08/2013,85,Documentary,"Gottfrid Svartholm,Peter Sunde,Fredrik Neij"
6632,Inside Job,2010,Charles Ferguson,"Charles Ferguson,Chad Beck",11/12/2010,105,"Documentary,Crime","Matt Damon,William Ackman,Daniel Alpert"
6633,The Internet's Own Boy: The Story of Aaron Swartz,2014,Brian Knappenberger,Brian Knappenberger,06/27/2014,105,"Documentary,Crime,Biography","Aaron Swartz,Tim Berners-Lee,Cindy Cohn"
6634,"My Country, My Country",2006,Laura Poitras,Laura Poitras,08/04/2006,90,Documentary,
6635,Green Lantern,2011,Martin Campbell,"Greg Berlanti,Michael Green",06/17/2011,114,"Science Fiction & Fantasy,Action & Adventure","Ryan Reynolds,Blake Lively,Peter Sarsgaard"
6636,Blade: Trinity,2004,David S. Goyer,"David S. Goyer,Marv Wolfman",12/08/2004,113,"Science Fiction & Fantasy,Action & Adventure","Wesley Snipes,Kris Kristofferson,Parker Posey"
6637,The Punisher,2004,Jonathan Hensleigh,"Jonathan Hensleigh,Michael France",04/16/2004,124,"Drama,Crime,Action & Adventure","Thomas Jane,John Travolta,Samantha Mathis"
6638,Elektra,2005,Rob Bowman,"Mark Steven Johnson,Frank Miller",01/14/2005,97,"Science Fiction & Fantasy,Crime,Action & Adventure","Jennifer Garner,Goran Visnjic,Will Yun Lee"
6639,Hulk,2003,Ang Lee,"Stan Lee,Jack Kirby",06/20/2003,138,"Science Fiction & Fantasy,Action & Adventure","Eric Bana,Jennifer Connelly,Sam Elliott"
6640,Daredevil,2003,Mark Steven Johnson,Mark Steven Johnson,02/14/2003,103,"Drama,Crime,Action & Adventure","Ben Affleck,Jennifer Garner,Colin Farrell"
6641,Fantastic 4: Rise of the Silver Surfer,2007,Tim Story,"Don Payne,Mark Frost",06/15/2007,92,"Science Fiction & Fantasy,Action & Adventure","Ioan Gruffudd,Jessica Alba,Chris Evans"
6642,Fantastic Four,2005,Tim Story,"Mark Frost,Michael France",07/08/2005,106,"Science Fiction & Fantasy,Action & Adventure","Ioan Gruffudd,Michael Chiklis,Chris Evans"
6643,Spiderman 3,2011,,,01/23/2011,,Comedy,Mark Of The Fanboy
6644,22 Jump Street,2014,"Phil Lord,Christopher Miller","Michael Bacall,Oren Uziel",06/13/2014,112,"Crime,Action & Adventure,Comedy","Channing Tatum,Jonah Hill,Ice Cube"
6645,The World's End,2013,Edgar Wright,"Simon Pegg,Edgar Wright",08/23/2013,109,"Science Fiction & Fantasy,Action & Adventure,Comedy","Simon Pegg,Nick Frost,Martin Freeman"
