id,title,year,directors,writers,date_in_theaters,duration,genres,actors
0,Ouija: Origin of Evil,2016,Mike Flanagan,"Mike Flanagan,Jeff Howard",10/21/2016,99,"Thriller,Horror","Elizabeth Reaser,Lulu Wilson,Annalise Basso"
1,Doctor Strange,2016,Scott Derrickson,"Jon Spaihts,Scott Derrickson",11/04/2016,115,"Science Fiction & Fantasy,Action & Adventure","Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams"
2,Keeping Up with the Joneses,2016,Greg Mottola,Michael LeSieur,10/21/2016,105,"Action & Adventure,Comedy","Zach Galifianakis,Isla Fisher,Jon Hamm"
3,Ghostbusters,2016,Paul Feig,"Katie Dippold,Paul Feig",07/15/2016,116,"Science Fiction & Fantasy,Action & Adventure,Comedy","Melissa McCarthy,Kristen Wiig,Kate McKinnon"
4,Star Trek Beyond,2016,Justin Lin,"Simon Pegg,Doug Jung",07/22/2016,122,"Science Fiction & Fantasy,Action & Adventure","Chris Pine,Zachary Quinto,Karl Urban"
5,Uncle Buck,1990,Tim O'Donnell,,09/08/1990,30,Comedy,"Kevin Meaney,Dah-ve Chodan,Jacob Gelman"
6,Jack Reacher: Never Go Back,2016,Edward Zwick,"Lee Child,Richard Wenk",10/21/2016,118,"Crime,Action & Adventure","Tom Cruise,Cobie Smulders,Aldis Hodge"
7,Boo! A Madea Halloween,2016,Tyler Perry,Tyler Perry,10/21/2016,103,"Horror,Comedy","Tyler Perry,Cassi Davis,Patrice Lovely"
8,Wonder Woman,1975,"William Moulton Marston,Stanley Ralph Ross",,11/07/1975,60,"Drama,Action & Adventure","Lynda Carter,Lyle Waggoner,Tom Kratochvil"
9,The Walking Dead,2010,Frank Darabont,,10/31/2010,44,"Drama,Science Fiction & Fantasy,Horror","Andrew Lincoln,Norman Reedus,Melissa McBride"
10,The Thundermans,2013,Jed Spingarn,,2013,23,"Kids & Family,Action & Adventure,Comedy","Kira Kosarin,Diego Velazquez,Jack Griffo"
11,Saturday Night Live,1975,Lorne Michaels,,10/11/1975,90,"Musical & Performing Arts,Comedy","Don Pardo,Lenny Pickett,Darrell Hammond"
12,I'm Not Ashamed,2016,Brian Baugh,"Philipa A. Booyens,Robin Hanley",10/21/2016,112,"Drama,Biography","Masey McLain,Ben Davies,Cameron McKendry"
13,Star Wars Rebels,2014,"Simon Kinberg,Carrie Beck,Dave Filoni",,09/26/2014,30,"Animation,Action & Adventure","Taylor Gray,Freddie Prinze Jr.,Tiya Sircar"
14,We Are X,2016,Stephen Kijak,,03/12/2016,93,"Documentary,Musical & Performing Arts","Yoshiki,Toshi,Pata"
15,The Handmaiden,2016,Chan-wook Park,"Seo-Kyung Chung,Chan-wook Park",06/01/2016,144,"Drama,Romance","Min-hee Kim,Jung-woo Ha,Jin-woong Jo"
16,Oasis: Supersonic,2016,Mat Whitecross,,10/26/2016,122,"Documentary,Musical & Performing Arts","Paul Arthurs,Christine Biller,Liam Gallagher"
17,Gimme Danger,2016,Jim Jarmusch,Jim Jarmusch,10/28/2016,108,Documentary,"Iggy Pop,Ron Asheton,Mike Watt"
18,Ae Dil Hai Mushkil,2016,Karan Johar,"Karan Johar,Karan Johar",10/28/2016,,"Drama,Romance,Musical & Performing Arts","Ranbir Kapoor,Anushka Sharma,Aishwarya Rai Bachchan"
19,Inferno,2016,Ron Howard,"Dan Brown,David Koepp",10/28/2016,121,"Crime,Action & Adventure","Tom Hanks,Felicity Jones,Irrfan Khan"
20,Deepwater Horizon,2016,Peter Berg,"Matthew Michael Carnahan,Matthew Sand",09/30/2016,107,"Drama,Thriller,Action & Adventure","Mark Wahlberg,Kurt Russell,Douglas M. Griffin"
21,Miss Peregrine's Home for Peculiar Children,2016,Tim Burton,"Ransom Riggs,Jane Goldman",09/30/2016,127,"Drama,Kids & Family,Action & Adventure","Eva Green,Asa Butterfield,Samuel L. Jackson"
22,Kevin Hart: What Now?,2016,"Leslie Small,Tim Story","Kevin Hart,Joey Wells",10/14/2016,96,"Documentary,Comedy","Kevin Hart,Don Cheadle,Halle Berry"
23,The Girl on the Train,2016,Tate Taylor,"Erin Cressida Wilson,Paula Hawkins",10/07/2016,112,"Thriller,Mystery & Suspense","Emily Blunt,Haley Bennett,Rebecca Ferguson"
24,School of Rock,2016,"Jim Armogida,Steve Armogida",,2016,30,"Kids & Family,Musical & Performing Arts,Comedy","Breanna Yde,Ricardo Hurtado,Jade Pettyjohn"
25,The Accountant,2016,Gavin O'Connor,Bill Dubuque,10/14/2016,128,"Drama,Crime,Action & Adventure","Ben Affleck,Anna Kendrick,J.K. Simmons"
26,Moonlight,2016,Barry Jenkins,"Barry Jenkins,Tarell McCraney",10/21/2016,110,Drama,"Mahershala Ali,Shariff Earp,Duan Sanderson"
27,Dirk Gently's Holistic Detective Agency,2016,Max Landis,,10/22/2016,60,"Science Fiction & Fantasy,Comedy","Christian Bako,Samuel Barnett,Neil Brown Jr."
28,31,2016,Rob Zombie,Rob Zombie,09/16/2016,102,"Thriller,Horror","Malcolm McDowell,Richard Brake,Jeff Daniel Phillips"
29,American Pastoral,2016,Ewan McGregor,"John Romano,Philip Roth",10/28/2016,126,"Drama,Crime","Ewan McGregor,Jennifer Connelly,Dakota Fanning"
30,The Tonight Show with Jay Leno,1992,,,05/25/1992,62,"Musical & Performing Arts,Television,Comedy","Jay Leno,Kevin Eubanks,Edd Hall"
31,The Late Show with Stephen Colbert,2015,,,09/08/2015,62,"Television,Comedy","Stephen Colbert,Jonathan Batiste,Stay Human"
32,Endless Poetry,2016,Alejandro Jodorowsky,Alejandro Jodorowsky,10/05/2016,128,"Drama,Science Fiction & Fantasy,Biography","Adan Jodorowsky,Brontis Jodorowsky,Leandro Taub"
33,The Age of Shadows,2016,Jee-woon Kim,Jee-woon Kim,09/23/2016,140,"Drama,Thriller,Action & Adventure","Byung-hun Lee,Yoo Gong,Kang-ho Song"
34,The Untamed,2016,Amat Escalante,"Amat Escalante,Gibrn Portela",05/15/2016,100,Drama,"Kenny Johnston,Simone Bucio,Simone Bucio"
35,"I, Daniel Blake",2016,Ken Loach,Paul Laverty,10/21/2016,100,Drama,"Dave Johns,Hayley Squires,Sharon Percy"
36,Paterson,2016,Jim Jarmusch,Jim Jarmusch,12/28/2016,113,"Drama,Comedy","Adam Driver,Golshifteh Farahani,Helen-Jean Arthur"
37,Heart of a Dog,2016,Laurie Anderson,Laurie Anderson,03/01/2016,75,Documentary,"Archie,Jason Berg,Heung-Heung Chin"
38,Hillary Clinton/Terry Crews/Ariana Grande,2016,Dave Diomedi,"A.D. Miles,Jonathan Adler",09/19/2016,40,"Musical & Performing Arts,Television,Comedy","Jimmy Fallon,Hillary Clinton,Terry Crews"
39,Certain Women,2016,Kelly Reichardt,"Maile Meloy,Kelly Reichardt",10/14/2016,107,Drama,"Michelle Williams,Kristen Stewart,Laura Dern"
40,Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,"J.K. Rowling,Steve Kloves",11/16/2001,152,"Science Fiction & Fantasy,Kids & Family,Action & Adventure","Daniel Radcliffe,Rupert Grint,Richard Harris"
41,Deepwater Horizon/Miss Peregrine's Home for Peculiar Children,2016,,,09/30/2016,50,"Television,Comedy","David Gobble,Sarah Gobble,Brad Jones"
42,Episode dated 18 October 2016,2016,,,10/18/2016,56,Television,"Lorraine Kelly,Mark Heyes,David Essex"
43,The Town,2010,Ben Affleck,"Peter Craig,Ben Affleck",09/17/2010,125,"Drama,Crime,Thriller","Ben Affleck,Rebecca Hall,Jon Hamm"
44,School of Rock,2003,Richard Linklater,Mike White,10/03/2003,108,"Kids & Family,Musical & Performing Arts,Comedy","Jack Black,Mike White,Joan Cusack"
45,Saige Paints the Sky,2013,Vince Marcello,"Jessica Haas,Jessica O'Toole",07/02/2013,100,Kids & Family,"Sidney Fullmer,Alexandra Peters,Alana Gordillo"
46,Danny DeVito/Ewan McGregor/Sam Neill/Miranda Hart/John Bishop/Amber Riley,2016,,,10/15/2016,60,"Television,Comedy","Graham Norton,Danny DeVito,Ewan McGregor"
47,A Monster Calls,2017,J.A. Bayona,"Patrick Ness,Patrick Ness",01/06/2017,108,"Drama,Science Fiction & Fantasy","Sigourney Weaver,Felicity Jones,Lewis MacDougall"
48,Pet,2016,Carles Torrens,Jeremy Slater,12/02/2016,94,Thriller,"Jennette McCurdy,Ksenia Solo,Dominic Monaghan"
49,The Wolf Man,1941,George Waggner,Curt Siodmak,12/12/1941,70,Horror,"Claude Rains,Warren William,Ralph Bellamy"
50,As You Are,2016,Miles Joris-Peyrafitte,"Madison Harrison,Miles Joris-Peyrafitte",01/25/2016,110,Drama,"Owen Campbell,Charlie Heaton,Amandla Stenberg"
51,LBJ,2016,Rob Reiner,Joey Hartstone,10/12/2016,98,Drama,"Jennifer Jason Leigh,Woody Harrelson,Bill Pullman"
52,The Good Neighbor,2016,Kasra Farahani,"Mark Bianculli,Jeff Richard",03/13/2016,98,Thriller,"James Caan,Logan Miller,Keir Gilchrist"
53,Don't Breathe,2016,Fede Alvarez,"Fede Alvarez,Rodo Sayagues",08/26/2016,88,"Crime,Thriller,Horror","Stephen Lang,Jane Levy,Dylan Minnette"
54,Friend Request,2016,Simon Verhoeven,"Matthew Ballen,Philip Koch",12/09/2016,92,"Thriller,Horror","Alycia Debnam-Carey,William Moseley,Connor Paolo"
55,Halloween II,2009,Rob Zombie,Rob Zombie,08/28/2009,105,Horror,"Scout Taylor-Compton,Tyler Mane,Malcolm McDowell"
56,Lights Out,2016,David F. Sandberg,"Eric Heisserer,David F. Sandberg",07/22/2016,81,"Thriller,Horror","Teresa Palmer,Gabriel Bateman,Maria Bello"
57,The Lords of Salem,2013,Rob Zombie,Rob Zombie,04/18/2013,101,"Drama,Science Fiction & Fantasy,Horror","Sheri Moon Zombie,Meg Foster,Bruce Davison"
58,The Neighbor,2016,Marcus Dunstan,"Marcus Dunstan,Marcus Dunstan",2016,87,"Crime,Thriller,Horror","Josh Stewart,Luke Edwards,Alex Essoe"
59,House of 1000 Corpses,2003,Rob Zombie,Rob Zombie,04/11/2003,89,Horror,"Sid Haig,Karen Black,Bill Moseley"
60,The Devil's Rejects,2005,Rob Zombie,"Rob Zombie,Rob Zombie",07/22/2005,107,"Crime,Horror","Sid Haig,Sheri Moon Zombie,Bill Moseley"
61,The Hitchhiker's Guide to the Galaxy,2005,Garth Jennings,"Douglas Adams,Douglas Adams",04/29/2005,109,"Science Fiction & Fantasy,Action & Adventure,Comedy","Martin Freeman,Yasiin Bey,Sam Rockwell"
62,Untitled Macon Blair Project,2017,Macon Blair,Macon Blair,2017,,Crime,"Melanie Lynskey,Elijah Wood,David Yow"
63,Untitled Max Landis Project,,,,,,Action & Adventure,
64,Bright,2017,David Ayer,Max Landis,2017,,Science Fiction & Fantasy,"Will Smith,Lucy Fry,Noomi Rapace"
65,Houdini,,,,,,Drama,
66,Amnesty,,,,,,"Thriller,Action & Adventure",
67,Pied Piper,,,,,,"Science Fiction & Fantasy,Thriller",
68,Good Time Gang,,,Max Landis,,,"Action & Adventure,Comedy",
69,One in Five,,Mark Davenport,Graeme Brookes,,17,"Drama,Short,Thriller","Robert Hardman,Georgia Taylor,David Crellin"
70,The Death and Return of Superman,2011,Max Landis,Max Landis,11/27/2011,17,"Science Fiction & Fantasy,Short,Comedy","Max Landis,Kit Willesee,Yuri Lowenthal"
71,Me Him Her,2016,Max Landis,Max Landis,03/11/2016,98,"Romance,Comedy","Dustin Milligan,Luke Bracey,Emily Meade"
72,Wrestling Isn't Wrestling,2015,Max Landis,Max Landis,03/14/2015,25,"Short,Documentary,Comedy","Anna Akana,Cat Alter,David Arquette"
73,Horizons,2016,Dean Parisot,"Douglas Adams,Max Landis",10/22/2016,60,"Science Fiction & Fantasy,Comedy","Elijah Wood,Hannah Marks,Dustin Milligan"
74,Dirk Gently,2010,Howard Overman,,12/11/2010,58,"Science Fiction & Fantasy,Crime,Comedy","Stephen Mangan,Darren Boyd,Lisa Jackson"
75,Spectre,2015,Sam Mendes,"John Logan,Neal Purvis",11/06/2015,148,"Thriller,Action & Adventure","Daniel Craig,Christoph Waltz,La Seydoux"
76,Loving,2016,Jeff Nichols,Jeff Nichols,11/04/2016,123,"Drama,Biography","Ruth Negga,Joel Edgerton,Will Dalton"
77,Christine,2016,Antonio Campos,Craig Shilowich,10/14/2016,115,"Drama,Biography","Rebecca Hall,Michael C. Hall,Tracy Letts"
78,Free Fire,2017,Ben Wheatley,"Amy Jump,Ben Wheatley",2017,90,"Drama,Crime,Action & Adventure","Enzo Cilenti,Sam Riley,Michael Smiley"
79,Lion,2016,Garth Davis,"Saroo Brierley,Larry Buttrose",11/25/2016,120,Drama,"Rooney Mara,Nicole Kidman,Dev Patel"
80,Stuck in the Middle,2016,"Linda Videtti Figueiredo,Alison Brown",,2016,30,"Kids & Family,Comedy","Jenna Ortega,Ronni Hawk,Isaak Presley"
81,Una,2016,Benedict Andrews,David Harrower,09/02/2016,94,Drama,"Rooney Mara,Ben Mendelsohn,Riz Ahmed"
82,Kirby Buckets,2014,"Mike Alber,Gabe Snyder",,10/20/2014,23,Kids & Family,"Jacob Bertrand,Mekai Curtis,Tiffany Espensen"
83,McKenna Shoots for the Stars,2012,Vince Marcello,"Mary Casanova,Jessica O'Toole",07/03/2012,93,"Drama,Kids & Family,Sports & Fitness","Jade Pettyjohn,Kerris Dorsey,Nia Vardalos"
84,One Crazy Cruise,2015,Michael Grossman,Gregg Millman,06/19/2015,67,"Kids & Family,Comedy","Kira Kosarin,Benjamin Flores Jr.,Sydney Park"
85,Bizaardvark,2016,"Josh Lehrman,Kyle Stegina",,2016,30,"Kids & Family,Comedy","Olivia Rodrigo,Madison Hu,Jake Paul"
86,"We Can Be Heroes, Sort Of",2016,Savage Steve Holland,"Jim Armogida,Steve Armogida",04/23/2016,21,"Kids & Family,Musical & Performing Arts,Comedy","Breanna Yde,Ricardo Hurtado,Jade Pettyjohn"
87,Should I Stay or Should I Go?,2016,Sean K. Lambert,"Jim Armogida,Steve Armogida",04/30/2016,22,"Kids & Family,Musical & Performing Arts,Comedy","Breanna Yde,Ricardo Hurtado,Jade Pettyjohn"
88,Wouldn't It Be Nice?,2016,Trevor Kirschner,"Jim Armogida,Steve Armogida",09/24/2016,22,"Kids & Family,Musical & Performing Arts,Comedy","Breanna Yde,Ricardo Hurtado,Jade Pettyjohn"
89,Middle School: The Worst Years of My Life/The Girl on the Train,2016,,,10/07/2016,47,"Television,Comedy","Mathew Buck,Brad Jones"
90,Web Therapy,2011,"Dan Bucatinsky,Lisa Kudrow,Don Roos",,07/19/2011,22,Comedy,"Lisa Kudrow,Dan Bucatinsky,Jennifer Elise Cox"
91,The Light Between Oceans,2016,Derek Cianfrance,"Derek Cianfrance,M.L. Stedman",09/02/2016,133,"Drama,Romance","Michael Fassbender,Alicia Vikander,Rachel Weisz"
92,Kevin Hart/Noel Fielding/Joshua Topolsky,2016,,,01/12/2016,41,"Musical & Performing Arts,Television,Comedy","Jimmy Fallon,Kevin Hart,Noel Fielding"
93,The Thinning,2016,Michael J. Gallagher,"Michael J. Gallagher,Steve Greene",10/12/2016,90,Thriller,"Peyton List,Logan Paul,Lia Marie Johnson"
94,Queen of Katwe,2016,Mira Nair,"William Wheeler,Tim Crothers",09/30/2016,124,"Drama,Sports & Fitness,Biography","Madina Nalwanga,David Oyelowo,Lupita Nyong'o"
95,When the Bough Breaks,2016,Jon Cassar,"Jack Olsen,Jack Olsen",09/09/2016,107,"Drama,Mystery & Suspense,Horror","Morris Chestnut,Regina Hall,Romany Malco"
96,Middle School: The Worst Years of My Life,2016,Steve Carr,"Chris Bowman,Hubbel Palmer",10/07/2016,92,"Drama,Animation,Comedy","Griffin Gluck,Lauren Graham,Alexa Nisenson"
97,Corpse Bride,2005,"Tim Burton,Mike Johnson","Tim Burton,Carlos Grangel",09/23/2005,77,"Drama,Kids & Family,Animation","Johnny Depp,Helena Bonham Carter,Emily Watson"
98,Charlie and the Chocolate Factory,2005,Tim Burton,"Roald Dahl,John August",07/15/2005,115,"Kids & Family,Action & Adventure,Comedy","Johnny Depp,Freddie Highmore,David Kelly"
99,Alice Through the Looking Glass,2016,James Bobin,"Linda Woolverton,Lewis Carroll",05/27/2016,113,"Science Fiction & Fantasy,Kids & Family,Action & Adventure","Mia Wasikowska,Johnny Depp,Helena Bonham Carter"
100,Hugo,2011,Martin Scorsese,"John Logan,Brian Selznick",11/23/2011,126,"Drama,Kids & Family,Action & Adventure","Asa Butterfield,Chlo Grace Moretz,Christopher Lee"
101,Zootopia,2016,"Byron Howard,Rich Moore","Byron Howard,Rich Moore",03/04/2016,108,"Animation,Action & Adventure,Comedy","Ginnifer Goodwin,Jason Bateman,Idris Elba"
102,Kubo and the Two Strings,2016,Travis Knight,"Marc Haimes,Chris Butler",08/19/2016,101,"Kids & Family,Animation,Action & Adventure","Charlize Theron,Art Parkinson,Matthew McConaughey"
103,The Secret Life of Pets,2016,"Yarrow Cheney,Chris Renaud","Cinco Paul,Ken Daurio",07/08/2016,87,"Animation,Action & Adventure,Comedy","Louis C.K.,Eric Stonestreet,Kevin Hart"
104,Finding Dory,2016,"Andrew Stanton,Angus MacLane","Andrew Stanton,Andrew Stanton",06/17/2016,97,"Animation,Action & Adventure,Comedy","Ellen DeGeneres,Albert Brooks,Ed O'Neill"
105,Pete's Dragon,2016,David Lowery,"David Lowery,Toby Halbrooks",08/12/2016,103,"Science Fiction & Fantasy,Kids & Family,Action & Adventure","Bryce Dallas Howard,Robert Redford,Oakes Fegley"
106,Dev creates drama at Sona - Ritwick's engagement,2016,,Durjoy Datta,09/12/2016,45,"Drama,Romance","Moon Banerjee,Alpesh Dhakan,Erica Fernandes"
107,Storks,2016,"Nicholas Stoller,Doug Sweetland",Nicholas Stoller,09/23/2016,87,"Animation,Action & Adventure,Comedy","Andy Samberg,Katie Crown,Kelsey Grammer"
108,Untitled Aditya Chopra Project,,,,,,Drama,
109,Albela Rahi,2017,Sultan Ghani,"Sultan Ghani,Faisal Hashmi",2017,,Biography,Fawad Khan
110,Phillauri,2017,Anshai Lal,Anvita Dutt,2017,,"Romance,Comedy","Anushka Sharma,Suraj Sharma,Diljit Dosanjh"
111,Bridget Jones's Baby,2016,Sharon Maguire,"Helen Fielding,Dan Mazer",09/16/2016,123,"Romance,Comedy","Rene Zellweger,Gemma Jones,Jim Broadbent"
112,War Dogs,2016,Todd Phillips,"Stephen Chin,Todd Phillips",08/19/2016,114,"Drama,Crime,Comedy","Jonah Hill,Miles Teller,Steve Lantz"
113,The Birth of a Nation,2016,Nate Parker,"Nate Parker,Nate Parker",10/07/2016,120,"Drama,History,Biography","Nate Parker,Armie Hammer,Penelope Ann Miller"
114,Episode dated 16 October 2016,2016,,,10/16/2016,180,"Kids & Family,Television,News","Roger Johnson,Tina Daheley,Donald Trump"
115,The Terminal,2004,Steven Spielberg,"Andrew Niccol,Sacha Gervasi",06/18/2004,128,"Drama,Romance,Comedy","Tom Hanks,Catherine Zeta-Jones,Chi McBride"
116,Ben-Hur,2016,Timur Bekmambetov,"Lew Wallace,Keith R. Clarke",08/19/2016,125,"Drama,Action & Adventure","Jack Huston,Toby Kebbell,Rodrigo Santoro"
117,Captain Phillips,2013,Paul Greengrass,"Billy Ray,Richard Phillips",10/11/2013,134,"Drama,Thriller,Biography","Tom Hanks,Barkhad Abdi,Barkhad Abdirahman"
118,The Da Vinci Code,2006,Ron Howard,"Akiva Goldsman,Dan Brown",05/19/2006,149,"Thriller,Mystery & Suspense","Tom Hanks,Audrey Tautou,Jean Reno"
119,Baadshaho,2017,Milan Luthria,Rajat Arora,05/12/2017,,Drama,"Aishwarya Rai Bachchan,Sunny Leone,Ajay Devgn"
120,Angels & Demons,2009,Ron Howard,"David Koepp,Akiva Goldsman",05/15/2009,138,"Thriller,Mystery & Suspense","Tom Hanks,Ewan McGregor,Ayelet Zurer"
121,Tiger Zinda Hai,2017,Ali Abbas Zafar,"Aditya Chopra,Neelesh Misra",12/22/2017,,Action & Adventure,"Salman Khan,Katrina Kaif,Ranvir Shorey"
122,Fuddu,2016,Sunil Subramani,"Pawan Kumar Sharma,Pawan Kumar Sharma",10/14/2016,100,Comedy,"Sharman Joshi,Shubham,Katrina Kaif"
123,Jagga Jasoos,2017,Anurag Basu,Anurag Basu,2017,,"Romance,Mystery & Suspense,Comedy","Ranbir Kapoor,Katrina Kaif,Mukesh Hariawala"
124,Befikre,2016,Aditya Chopra,"Aditya Chopra,Aditya Chopra",12/09/2016,104,"Drama,Romance,Comedy","Ranveer Singh,Vaani Kapoor,Elisa Bachir Bey"
125,Raees,2017,Rahul Dholakia,"Rahul Dholakia,Harit Mehta",01/26/2017,161,"Thriller,Crime,Action & Adventure","Shah Rukh Khan,Sunny Leone,Nawazuddin Siddiqui"
126,Maula Jatt 2,2017,,"Nasir Adib,Bilal Lashari",2017,,"Drama,Action & Adventure","Fawad Khan,Hamza Abbasi,Sanam Jung"
127,The Ring,2017,Imtiaz Ali,Imtiaz Ali,August 2017,,"Drama,Romance","Shah Rukh Khan,Anushka Sharma,Evelyn Sharma"
128,Dear Zindagi,2016,Gauri Shinde,Gauri Shinde,11/25/2016,,"Drama,Romance","Shah Rukh Khan,Alia Bhatt,Aditya Roy Kapoor"
129,Diamond Island,2016,Davy Chou,"Davy Chou,Claire Maugendre",05/13/2016,101,Drama,Sobon Nuon
130,Albm,2016,Mehmet Can Mertoglu,Mehmet Can Mertoglu,11/04/2016,105,Comedy,"Sebnem Bozoklu,Murat Kili,Muttalip Mujdeci"
131,Yourself and Yours,2016,Sang-soo Hong,Sang-soo Hong,10/07/2016,86,Drama,"Kim Ju-Hyuck,You-young Lee"
132,Mimosas,2016,Oliver Laxe,"Santiago Fillol,Oliver Laxe",05/22/2016,96,Drama,"Ahmed Hammoud,Shakib Ben Omar,Said Aagli"
133,Episode #4.17,1994,Andrew Margetson,,03/18/1994,60,,"Paul Arthurs,Dani Behr,Terry Christian"
134,Personal Shopper,2017,Olivier Assayas,Olivier Assayas,03/10/2017,105,"Drama,Thriller","Kristen Stewart,Lars Eidinger,Sigrid Bouaziz"
135,The Office,2003,,,01/23/2003,30,"Drama,Comedy","Ricky Gervais,Martin Freeman,Mackenzie Crook"
136,The Girl with All the Gifts,2016,Colm McCarthy,"Mike Carey,Mike Carey",09/23/2016,111,"Drama,Thriller,Horror","Gemma Arterton,Glenn Close,Paddy Considine"
137,Oasis: Familiar to Millions,2000,Dick Carruthers,,11/13/2000,94,Musical & Performing Arts,"Oasis,Liam Gallagher,Noel Gallagher"
138,Hell or High Water,2016,David Mackenzie,Taylor Sheridan,08/26/2016,102,"Drama,Crime","Dale Dickey,Ben Foster,Chris Pine"
139,Amanda Knox,2016,"Rod Blackhurst,Brian McGinn","Matthew Hamachek,Brian McGinn",09/30/2016,92,"Documentary,Crime","Amanda Knox,Meredith Kercher,Raffaele Sollecito"
140,My Scientology Movie,2017,John Dower,"John Dower,John Dower",03/03/2017,99,Documentary,"Rob Alter,Tom Cruise,Paz de la Huerta"
141,The Beatles: Eight Days a Week - The Touring Years,2016,Ron Howard,"Mark Monroe,P.G. Morgan",09/16/2016,137,"Documentary,Musical & Performing Arts","Paul McCartney,Ringo Starr,John Lennon"
142,Oasis: Live by the Sea,1995,Nigel Dick,,08/28/1995,82,Musical & Performing Arts,"Oasis,Liam Gallagher,Noel Gallagher"
143,David Brent: Life on the Road,2017,Ricky Gervais,Ricky Gervais,02/10/2017,96,"Musical & Performing Arts,Comedy","Ricky Gervais,Rob Jarvis,Abbie Murphy"
144,Oasis: Definitely Maybe,2004,"Dick Carruthers,Nigel Dick",,09/07/2004,59,"Documentary,Musical & Performing Arts","Anthony Griffiths,Chris Griffiths,Mani"
145,Colossal,2016,Nacho Vigalondo,Nacho Vigalondo,09/29/2016,110,"Science Fiction & Fantasy,Thriller,Action & Adventure","Dan Stevens,Anne Hathaway,Jason Sudeikis"
146,Oasis... There and Then,1996,"Dick Carruthers,Mark Szaszy",,11/19/1996,85,Musical & Performing Arts,"Liam Gallagher,Noel Gallagher,Oasis"
147,Under the Shadow,2016,Babak Anvari,Babak Anvari,10/07/2016,84,Horror,"Narges Rashidi,Avin Manshadi,Bobby Naderi"
148,The Wailing,2016,Hong-jin Na,Hong-jin Na,06/03/2016,156,"Drama,Science Fiction & Fantasy,Horror","Jun Kunimura,Jung-min Hwang,Do Won Kwak"
149,After the Storm,2016,Hirokazu Koreeda,"Hirokazu Koreeda,Hirokazu Koreeda",05/21/2016,117,Drama,"Hiroshi Abe,Yko Maki,Taiy Yoshizawa"
150,Graduation,2016,Cristian Mungiu,Cristian Mungiu,05/20/2016,128,Drama,"Adrian Titieni,Maria-Victoria Dragus,Rares Andrici"
151,Elle,2016,Paul Verhoeven,"Philippe Djian,David Birke",11/11/2016,130,"Drama,Thriller","Isabelle Huppert,Laurent Lafitte,Anne Consigny"
152,Tokyo Godfathers,2003,"Satoshi Kon,Shgo Furuya","Satoshi Kon,Satoshi Kon",11/08/2003,92,"Animation,Action & Adventure,Comedy","Tru Emori,Yoshiaki Umegaki,Aya Okamoto"
153,Port of Call,2015,Philip Yung,Philip Yung,12/03/2015,126,"Drama,Crime,Mystery & Suspense","Aaron Kwok,Jessie Li,Patrick Tam"
154,Merry Christmas Mr. Lawrence,1983,Nagisa shima,"Laurens van der Post,Nagisa shima",09/02/1983,123,"Drama,War","David Bowie,Tom Conti,Ryuichi Sakamoto"
155,Toni Erdmann,2016,Maren Ade,Maren Ade,12/25/2016,162,"Drama,Comedy","Peter Simonischek,Sandra Hller,Michael Wittenborn"
156,Trivisa,2016,"Jevons Au,Frank Hui","Tin Shu Mak,Man Hong Lung",04/07/2016,97,"Drama,Crime","Richie Jen,Jordan Chan,Ka Tung Lam"
157,Manchester by the Sea,2016,Kenneth Lonergan,Kenneth Lonergan,11/18/2016,135,Drama,"Casey Affleck,Michelle Williams,Kyle Chandler"
158,We Love Ahsoka!,2016,,,10/06/2016,,Television,"Andi Gutierrez,Ian Bucknole,Sammy Holland"
159,Teen Titans,2003,,,07/19/2003,30,"Animation,Action & Adventure","Hynden Walch,Scott Menville,Greg Cipes"
160,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,"Leigh Brackett,Lawrence Kasdan",06/20/1980,124,"Science Fiction & Fantasy,Action & Adventure","Mark Hamill,Harrison Ford,Carrie Fisher"
161,Star Wars: Episode IV - A New Hope,1977,George Lucas,George Lucas,05/25/1977,121,"Science Fiction & Fantasy,Action & Adventure","Mark Hamill,Harrison Ford,Carrie Fisher"
162,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,"Lawrence Kasdan,George Lucas",05/25/1983,131,"Science Fiction & Fantasy,Action & Adventure","Mark Hamill,Harrison Ford,Carrie Fisher"
163,Star Wars: Episode II - Attack of the Clones,2002,George Lucas,"George Lucas,Jonathan Hales",05/16/2002,142,"Science Fiction & Fantasy,Action & Adventure","Hayden Christensen,Natalie Portman,Ewan McGregor"
164,Star Wars: Episode I - The Phantom Menace,1999,George Lucas,George Lucas,05/19/1999,136,"Science Fiction & Fantasy,Action & Adventure","Ewan McGregor,Liam Neeson,Natalie Portman"
165,Lego Star Wars: The Freemaker Adventures,2016,"Bill Motz,Bob Roth,Carrie Beck",,06/20/2016,23,"Action & Adventure,Comedy","Vanessa Lengies,Grey Griffin,Nicolas Cantu"
166,Crime Fighters,2016,,,06/22/2016,42,Documentary,"Jay Leno,Dan Aykroyd,Charlie Beck"
167,Star Wars: Clone Wars,2003,,,11/07/2003,15,"Animation,Action & Adventure","Mat Lucas,James Arnold Taylor,Andr Sogliuzzo"
