30,33,2144,The Age of Shadows,"Action,Drama,Mystery",140,75.0,387.0,Jee-woon Kim,2016,The Age of Shadows (Mil-jeong),"Action,Adventure,Drama",139.0,80.0,768,"Jee-woon Kim,",2016
31,33,16271,The Age of Shadows,"Action,Drama,Mystery",140,75.0,387.0,Jee-woon Kim,2016,In Praise of Shadows,"Art House,International",,,40,"Jay Anania,",2010
32,35,88,"I, Daniel Blake",Drama,100,81.0,1244.0,Ken Loach,2016,"I, Daniel Blake","Art House,International,Drama",100.0,,2131,"Ken Loach,",2016
33,36,94,Paterson,"Comedy,Drama",113,77.0,924.0,Jim Jarmusch,2016,Paterson,"Comedy,Drama",115.0,,975,"Jim Jarmusch,",2016
34,37,6744,Heart of a Dog,Documentary,75,73.0,886.0,Laurie Anderson,2016,Heart of a Dog,Documentary,75.0,74.0,2034,"Laurie Anderson,",2015
35,39,121,Certain Women,Drama,107,65.0,1161.0,Kelly Reichardt,2016,Certain Women,Drama,107.0,60.0,4014,"Kelly Reichardt,",2016
36,40,224,Harry Potter and the Sorcerer's Stone,"Adventure,Family,Fantasy",152,75.0,452864.0,Chris Columbus,2001,Harry Potter and the Chamber of Secrets,"Kids,Family,Science Fiction,Fantasy",161.0,74.0,1148204,"Chris Columbus,",2002
37,40,227,Harry Potter and the Sorcerer's Stone,"Adventure,Family,Fantasy",152,75.0,452864.0,Chris Columbus,2001,Harry Potter and the Sorcerer's Stone,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",152.0,74.0,1153038,"Chris Columbus,",2001
38,41,56,Deepwater Horizon/Miss Peregrine's Home for Peculiar Children,"Comedy,Television",50,,,,2016,Miss Peregrine's Home for Peculiar Children,"Kids,Family,Science Fiction,Fantasy",127.0,72.0,30138,"Tim Burton,",2016
39,43,3460,The Town,"Crime,Drama,Mystery",125,76.0,283845.0,Ben Affleck,2010,The Town,"Action,Adventure,Drama,Mystery,Romance",151.0,78.0,140527,"Ben Affleck,",2010
40,43,7195,The Town,"Crime,Drama,Mystery",125,76.0,283845.0,Ben Affleck,2010,The Big Town,Drama,110.0,58.0,1324,"Ben Bolt,",1987
41,44,9793,School of Rock,"Comedy,Family,Musical",108,71.0,213762.0,Richard Linklater,2003,School of Rock,Comedy,116.0,64.0,32783704,"Richard Linklater,",2003
42,47,86,A Monster Calls,"Drama,Fantasy",108,78.0,1716.0,J.A. Bayona,2017,A Monster Calls,"Comedy,Drama,Science Fiction,Fantasy",108.0,,10277,"J.A. Bayona,",2016
43,48,12003,Pet,Mystery,94,67.0,177.0,Carles Torrens,2016,Pet,Mystery,90.0,,447,"Carles Torrens,",2016
44,49,14146,The Wolf Man,Horror,70,74.0,16698.0,George Waggner,1941,The Thin Man,Mystery,,,158,,2013
45,51,2146,LBJ,Drama,98,78.0,65.0,Rob Reiner,2016,LBJ,Drama,98.0,62.0,66,"Rob Reiner,",2016
46,52,2971,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,2016,The Good Soldier,"Drama,Television",,,8,"Kevin Billington,",1981
47,52,3545,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,2016,Good Neighbors,"Drama,Mystery",98.0,58.0,2541,"Jacob Tierney,",2011
48,52,6973,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,2016,The Good Neighbor,Mystery,98.0,66.0,430,"Kasra Farahani,",2016
49,52,17743,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,2016,The Good Die Young,"Classics,Drama,Mystery",98.0,68.0,74,"Lewis Gilbert,",1954
50,53,27,Don't Breathe,"Crime,Horror,Mystery",88,74.0,44740.0,Fede Alvarez,2016,Don't Breathe,"Horror,Mystery",88.0,78.0,32310,"Fede Alvarez,",2016
51,54,18,Friend Request,"Horror,Mystery",92,55.0,7455.0,Simon Verhoeven,2016,Friend Request,"Art House,International,Horror,Mystery",92.0,,1868,"Simon Verhoeven,",2016
52,55,4562,Halloween II,Horror,105,49.0,37022.0,Rob Zombie,2009,Halloween,Horror,109.0,66.0,360157,"Rob Zombie,",2007
53,55,10249,Halloween II,Horror,105,49.0,37022.0,Rob Zombie,2009,Halloween H2O,Horror,86.0,56.0,179414,"Steve Miner,",1998
54,55,19100,Halloween II,Horror,105,49.0,37022.0,Rob Zombie,2009,H2: Halloween II,Horror,106.0,62.0,385484,"Rob Zombie,",2009
55,56,192,Lights Out,"Horror,Mystery",81,65.0,35815.0,David F. Sandberg,2016,Lights Out,Horror,81.0,70.0,24346,"David F. Sandberg,",2016
56,57,2374,The Lords of Salem,"Drama,Fantasy,Horror",101,51.0,20945.0,Rob Zombie,2013,The Wizard of Malta,"Documentary,Special Interest",,,31,"Alex Roshuk,",1981
57,57,12857,The Lords of Salem,"Drama,Fantasy,Horror",101,51.0,20945.0,Rob Zombie,2013,The Homes of FDR,"Documentary,Special Interest",65.0,,5,,1999
58,58,17135,The Neighbor,"Crime,Horror,Mystery",87,59.0,1899.0,Marcus Dunstan,2016,Neighbor,Comedy,,48.0,30,,2008
59,60,11442,The Devil's Rejects,"Crime,Horror",107,69.0,77416.0,Rob Zombie,2005,The Devil's Gravestone,Horror,,,97,"Jay Mackenzie Roach,",2009
60,61,4712,The Hitchhiker's Guide to the Galaxy,"Adventure,Comedy,Sci-Fi",109,68.0,157449.0,Garth Jennings,2005,The Hitchhiker's Guide to the Galaxy,"Comedy,Science Fiction,Fantasy",109.0,62.0,233175,"Garth Jennings,",2005
61,62,2592,Untitled Macon Blair Project,Crime,0,,,Macon Blair,2017,Untitled Neill Blomkamp/Alien Project,,,,32,"Neill Blomkamp,",2017
62,62,4626,Untitled Macon Blair Project,Crime,0,,,Macon Blair,2017,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,",2017
63,62,11292,Untitled Macon Blair Project,Crime,0,,,Macon Blair,2017,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
