-1,6252,8020,3360,Gods Behaving Badly,"Comedy,Drama",90,63.0,72.0,Marc Turtletaub,2013,Behaving Badly,"Comedy,Drama",98.0,50.0,3896,"Tim Garrick,",2014
-1,6901,9144,9963,Main Street,Drama,92,47.0,2170.0,John Doyle,2012,Wall Street,Drama,126.0,72.0,50196,"Oliver Stone,",1987
-1,4646,6126,16004,George of the Jungle,"Animation,Adventure,Comedy",0,43.0,618.0,,2007,Welcome to the Jungle,Horror,82.0,52.0,1791,"Jonathan Hensleigh,",2007
-1,11058,16909,9382,Computer Space,"Action,Sci-Fi",0,68.0,10.0,,1971,Computer Chess,Comedy,92.0,64.0,2840,"Andrew Bujalski,",2013
-1,4297,5544,5100,Parkland,"Drama,History,Mystery",93,63.0,11887.0,Peter Landesman,2013,Parkland,Drama,93.0,64.0,9622,"Peter Landesman,",2013
-1,7484,9938,14272,Untitled Stan Lee Project,"Action,Adventure",0,,,,,Untitled Wes Anderson Project,,,,21,"Wes Anderson,",2018
-1,2861,3209,16499,Birds of America,"Comedy,Drama",85,62.0,4864.0,Craig Lucas,2010,Africans in America,"Documentary,Special Interest",90.0,,3,,1998
-1,11237,17160,16996,Love Me,Mystery,97,54.0,730.0,Rick Bota,2013,Love Matters,"Drama,Romance",97.0,,15,"Eb Lottimer,",1993
-1,4966,6474,254,Iron Man,Comedy,0,74.0,40.0,,2015,Early Man,,,,10,"Nick Park,",2018
-1,10843,16494,14023,Best Defense,"Comedy,War",94,36.0,4701.0,Willard Huyck,1984,Best Defense,"Action,Adventure,Comedy,Mystery",94.0,48.0,5596,"Willard Huyck,",1984
-1,5940,7607,14766,Double Team,"Action,Comedy,Sci-Fi",93,47.0,25503.0,Hark Tsui,1997,Double Whammy,"Comedy,Drama",93.0,58.0,1601,"Tom DiCillo,",2002
-1,2178,2446,3913,House on Haunted Hill,Horror,75,69.0,16325.0,William Castle,1959,House on Haunted Hill,"Horror,Mystery",96.0,58.0,89287,"William Malone,",1999
-1,7486,9941,2592,Untitled Hugh Jackman Project,"Action,Adventure",0,,,,,Untitled Neill Blomkamp/Alien Project,,,,32,"Neill Blomkamp,",2017
-1,12580,19625,12651,Big Brother,Television,60,43.0,2325.0,,2000,Big Driver,Mystery,120.0,56.0,264,"Mikael Salomon,Michael Salomon,",2014
-1,3922,5053,1307,Maggie's Plan,"Comedy,Drama,Romance",98,63.0,5965.0,Rebecca Miller,2016,Maggie's Plan,Comedy,98.0,64.0,7290,"Rebecca Miller,",2016
-1,7203,9528,2592,Untitled Bill & Ted Project,Comedy,0,,,Dean Parisot,,Untitled Neill Blomkamp/Alien Project,,,,32,"Neill Blomkamp,",2017
-1,10048,14601,16276,Rabid Dog,"Crime,Drama,Mystery",48,91.0,10808.0,Sam Catlin,2013,Dead Dog,Mystery,,58.0,79,"Christopher Goode,",2006
-1,6147,7890,17644,Shock Treatment,"Comedy,Musical",94,58.0,3544.0,Jim Sharman,1981,Shock Treatment,"Comedy,Musical,Performing Arts,Television",94.0,66.0,8049,"Jim Sharman,",1981
-1,725,681,5337,The New Adventures of Superman,"Animation,Sci-Fi",30,76.0,415.0,,1966,The Adventures of Ragtime,,120.0,,1,"William Byron Hillman,",1998
-1,9550,13627,2867,CBS This Morning,"News,Television",120,54.0,40.0,,1987,Son Of Morning,"Comedy,Drama",81.0,42.0,72,"Yanviz Raz,Yaniv Raz,",2011
-1,66,63,4626,Untitled Max Landis Project,Adventure,0,,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,",2017
-1,3860,4932,18555,God's Not Dead,,84,50.0,1715.0,,2013,God's New Plan,"Drama,Television",93.0,64.0,270,"Michael Switzer,",1999
-1,2195,2474,176,Ghostbusters 2016,"Comedy,Television",51,,,,2016,Ghostbusters,"Action,Adventure,Comedy,Science Fiction,Fantasy",105.0,62.0,112895,"Paul Feig,",2016
-1,3194,3753,5615,Match of the Day 2,Sport,45,78.0,518.0,,2004,Back In The Day,,121.0,52.0,65,"Paul Borghese,",2016
-1,4962,6471,76,Assassin's Creed 2,"Action,Adventure,History",0,,,,,Assassin's Creed,"Action,Adventure,Drama",116.0,,39334,"Justin Kurzel,",2016
-1,8787,12261,5118,Intolerable Cruelty,"Comedy,Crime,Romance",100,63.0,77263.0,"Joel Coen,Ethan Coen",2003,Intolerable Cruelty,"Comedy,Romance",100.0,58.0,66430,"Joel Coen,",2003
-1,5998,7663,13832,Evening,"Drama,Romance",117,66.0,11738.0,Lajos Koltai,2007,Evening,Drama,117.0,62.0,123694,"Lajos Koltai,",2007
