32,35,88,"I, Daniel Blake",Drama,100,81.0,1244.0,Ken Loach,"I, Daniel Blake","Art House,International,Drama",100.0,,2131,"Ken Loach,"
33,36,94,Paterson,"Comedy,Drama",113,77.0,924.0,Jim Jarmusch,Paterson,"Comedy,Drama",115.0,,975,"Jim Jarmusch,"
34,37,6744,Heart of a Dog,Documentary,75,73.0,886.0,Laurie Anderson,Heart of a Dog,Documentary,75.0,74.0,2034,"Laurie Anderson,"
35,39,121,Certain Women,Drama,107,65.0,1161.0,Kelly Reichardt,Certain Women,Drama,107.0,60.0,4014,"Kelly Reichardt,"
36,40,224,Harry Potter and the Sorcerer's Stone,"Adventure,Family,Fantasy",152,75.0,452864.0,Chris Columbus,Harry Potter and the Chamber of Secrets,"Kids,Family,Science Fiction,Fantasy",161.0,74.0,1148204,"Chris Columbus,"
37,40,227,Harry Potter and the Sorcerer's Stone,"Adventure,Family,Fantasy",152,75.0,452864.0,Chris Columbus,Harry Potter and the Sorcerer's Stone,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",152.0,74.0,1153038,"Chris Columbus,"
38,41,56,Deepwater Horizon/Miss Peregrine's Home for Peculiar Children,"Comedy,Television",50,,,,Miss Peregrine's Home for Peculiar Children,"Kids,Family,Science Fiction,Fantasy",127.0,72.0,30138,"Tim Burton,"
39,43,3460,The Town,"Crime,Drama,Mystery",125,76.0,283845.0,Ben Affleck,The Town,"Action,Adventure,Drama,Mystery,Romance",151.0,78.0,140527,"Ben Affleck,"
40,43,7195,The Town,"Crime,Drama,Mystery",125,76.0,283845.0,Ben Affleck,The Big Town,Drama,110.0,58.0,1324,"Ben Bolt,"
41,44,9793,School of Rock,"Comedy,Family,Musical",108,71.0,213762.0,Richard Linklater,School of Rock,Comedy,116.0,64.0,32783704,"Richard Linklater,"
42,47,86,A Monster Calls,"Drama,Fantasy",108,78.0,1716.0,J.A. Bayona,A Monster Calls,"Comedy,Drama,Science Fiction,Fantasy",108.0,,10277,"J.A. Bayona,"
43,48,12003,Pet,Mystery,94,67.0,177.0,Carles Torrens,Pet,Mystery,90.0,,447,"Carles Torrens,"
44,49,14146,The Wolf Man,Horror,70,74.0,16698.0,George Waggner,The Thin Man,Mystery,,,158,
45,51,2146,LBJ,Drama,98,78.0,65.0,Rob Reiner,LBJ,Drama,98.0,62.0,66,"Rob Reiner,"
46,52,2971,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,The Good Soldier,"Drama,Television",,,8,"Kevin Billington,"
47,52,3545,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,Good Neighbors,"Drama,Mystery",98.0,58.0,2541,"Jacob Tierney,"
48,52,6973,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,The Good Neighbor,Mystery,98.0,66.0,430,"Kasra Farahani,"
49,52,17743,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,The Good Die Young,"Classics,Drama,Mystery",98.0,68.0,74,"Lewis Gilbert,"
50,53,27,Don't Breathe,"Crime,Horror,Mystery",88,74.0,44740.0,Fede Alvarez,Don't Breathe,"Horror,Mystery",88.0,78.0,32310,"Fede Alvarez,"
51,54,18,Friend Request,"Horror,Mystery",92,55.0,7455.0,Simon Verhoeven,Friend Request,"Art House,International,Horror,Mystery",92.0,,1868,"Simon Verhoeven,"
52,55,4562,Halloween II,Horror,105,49.0,37022.0,Rob Zombie,Halloween,Horror,109.0,66.0,360157,"Rob Zombie,"
53,55,10249,Halloween II,Horror,105,49.0,37022.0,Rob Zombie,Halloween H2O,Horror,86.0,56.0,179414,"Steve Miner,"
54,55,19100,Halloween II,Horror,105,49.0,37022.0,Rob Zombie,H2: Halloween II,Horror,106.0,62.0,385484,"Rob Zombie,"
55,56,192,Lights Out,"Horror,Mystery",81,65.0,35815.0,David F. Sandberg,Lights Out,Horror,81.0,70.0,24346,"David F. Sandberg,"
56,57,2374,The Lords of Salem,"Drama,Fantasy,Horror",101,51.0,20945.0,Rob Zombie,The Wizard of Malta,"Documentary,Special Interest",,,31,"Alex Roshuk,"
57,57,12857,The Lords of Salem,"Drama,Fantasy,Horror",101,51.0,20945.0,Rob Zombie,The Homes of FDR,"Documentary,Special Interest",65.0,,5,
58,58,17135,The Neighbor,"Crime,Horror,Mystery",87,59.0,1899.0,Marcus Dunstan,Neighbor,Comedy,,48.0,30,
59,60,11442,The Devil's Rejects,"Crime,Horror",107,69.0,77416.0,Rob Zombie,The Devil's Gravestone,Horror,,,97,"Jay Mackenzie Roach,"
60,61,4712,The Hitchhiker's Guide to the Galaxy,"Adventure,Comedy,Sci-Fi",109,68.0,157449.0,Garth Jennings,The Hitchhiker's Guide to the Galaxy,"Comedy,Science Fiction,Fantasy",109.0,62.0,233175,"Garth Jennings,"
61,62,2592,Untitled Macon Blair Project,Crime,0,,,Macon Blair,Untitled Neill Blomkamp/Alien Project,,,,32,"Neill Blomkamp,"
62,62,4626,Untitled Macon Blair Project,Crime,0,,,Macon Blair,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,"
63,62,11292,Untitled Macon Blair Project,Crime,0,,,Macon Blair,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,"
64,62,14272,Untitled Macon Blair Project,Crime,0,,,Macon Blair,Untitled Wes Anderson Project,,,,21,"Wes Anderson,"
65,63,648,Untitled Max Landis Project,Adventure,0,,,,Untitled Wikileaks/HBO Project,Drama,128.0,60.0,66,"Bill Condon,"
66,63,4626,Untitled Max Landis Project,Adventure,0,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,"
67,63,11292,Untitled Max Landis Project,Adventure,0,,,,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,"
68,63,14272,Untitled Max Landis Project,Adventure,0,,,,Untitled Wes Anderson Project,,,,21,"Wes Anderson,"
69,65,616,Houdini,Drama,0,,,,Houdini,Drama,94.0,62.0,804,"Pen Densham,"
70,67,1792,Pied Piper,"Fantasy,Mystery",0,,,,The Pied Piper,"Classics,Drama,Musical,Performing Arts,Science Fiction,Fantasy",90.0,62.0,74,"Jacques Demy,"
71,71,6041,Me Him Her,"Comedy,Romance",98,53.0,703.0,Max Landis,Me Him Her,Comedy,97.0,66.0,180,"Max Landis,"
72,75,661,Spectre,"Action,Adventure,Mystery",148,68.0,285431.0,Sam Mendes,Spectre,"Action,Adventure",150.0,70.0,104655,"Sam Mendes,"
73,76,95,Loving,"Biography,Drama",123,65.0,603.0,Jeff Nichols,Loving,Drama,123.0,78.0,9803,"Jeff Nichols,"
74,77,843,Christine,"Biography,Drama",115,72.0,370.0,Antonio Campos,Christine,Drama,115.0,76.0,2501,"Antonio Campos,"
75,78,317,Free Fire,"Action,Crime,Drama",90,75.0,256.0,Ben Wheatley,Free Birds,"Animation,Comedy,Kids,Family",90.0,64.0,39948,"Jimmy Hayward,"
76,78,1355,Free Fire,"Action,Crime,Drama",90,75.0,256.0,Ben Wheatley,Free Zone,"Art House,International,Drama",90.0,54.0,20064,"Amos Gitai,"
77,78,3152,Free Fire,"Action,Crime,Drama",90,75.0,256.0,Ben Wheatley,Free Fire,"Action,Adventure,Comedy,Drama",,,377,"Ben Wheatley,"
78,79,104,Lion,Drama,120,76.0,382.0,Garth Davis,Lion,Drama,120.0,80.0,2651,"Garth Davis,"
79,81,2148,Una,Drama,94,73.0,190.0,Benedict Andrews,Una,Drama,94.0,72.0,98,"Benedict Andrews,"
80,89,111,Middle School: The Worst Years of My Life/The Girl on the Train,"Comedy,Television",47,,,,Middle School: The Worst Years of My Life,Comedy,92.0,72.0,3903,"Steve Carr,"
81,90,14310,Web Therapy,Comedy,22,67.0,3383.0,"Dan Bucatinsky,Lisa Kudrow,Don Roos",Beyond Therapy,Comedy,93.0,52.0,1214,"Robert Altman,"
82,91,66,The Light Between Oceans,"Drama,Romance",133,73.0,3720.0,Derek Cianfrance,The Light Between Oceans,"Drama,Romance",132.0,72.0,11113,"Derek Cianfrance,"
83,94,119,Queen of Katwe,"Biography,Drama,Sport",124,72.0,1225.0,Mira Nair,Queen of Katwe,Drama,124.0,84.0,8198,"Mira Nair,"
84,94,18340,Queen of Katwe,"Biography,Drama,Sport",124,72.0,1225.0,Mira Nair,Queen of Cactus Cove,"Comedy,Special Interest",,,44,"Anna Christopher,"
85,95,986,When the Bough Breaks,"Drama,Horror,Mystery",107,43.0,980.0,Jon Cassar,When the Bough Breaks,"Drama,Horror",93.0,62.0,6193,"Jon Cassar,"
