id,title,year,genres,movie_rating,directors,writers,date_in_theaters,date_on_dvd,box_office_earnings,duration,studios,audience_rating,num_of_audience_rating,actors,movie_description
11,The Greatest Showman,2017,"Drama, Musical & Performing Arts, ",PG (for thematic elements including a brawl),"Michael Gracey,","Jenny Bicks,Bill Condon,","Dec 20, 2017",,,105 minutes,"20th Century Fox,",4.5/5,"16,088","Hugh Jackman,Zac Efron,Michelle Williams,Rebecca Ferguson,Zendaya,Paul Sparks,Gayle Rankin,Tina Benko,Fredric Lehne,Keala Settle,Austyn Johnson,Sam Humphrey,Cameron Seely,Yahya Abdul-Mateen II,Eric Chase Anderson,Ellis Rubin,Skylar Dunn,Daniel Everidge,Radu Spinghel,Yusaku Komori,Danial Son,Will Swenson,Linda Larson,Byron Jennings,Betsy Aidem,Damian Young,Kathryn Meisle,Timothy Hughes,Arnie Burton,Carly Adams,Sawyer Niehaus,Shuler Hensley,Will Erat,James Andrew O'Connor,Jamie Jackson,Morgan Weed,Henry Stram,Michael Barra,Natasha Liu Bordizzo,Luciano Acuna Jr.,Shannon Freyer,Kevin Dwane,Sandi DeGeorge,Tony Neil Butler,Frances Emily Schramm,Kenneth Chan,Stacey Alyse Cohen,Tim Wilson,Jonathon Culver,Jillian Braithwaite,Adam Haas Hunter,Bob Rumnock,Ben Reed,Martha Nichols,Jonathan Redavid,Shannon Holtzapffel,Jeremy Craig Hudson,Taylor James,Chelsea Caso,Caoife Coleman,Mishay Petronelli,Khasan Brailsford,Alex Wong,Julius Rubio,Vincent-Oliver Noiseux,Jessica Castro,Najla Gilliam,Christina Glur,Emerson Tate Alexander,Victoria Llodra,Louise Hindsbro,Laci Justice,GiaNina Paolantonio,Rachel Quiner,Madison Smith,Brando Speach,Daniel 'Cloud' Campos,Rod Roberts,","Inspired by the imagination of P.T. Barnum, The Greatest Showman is an original musical that celebrates the birth of show business & tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
12,The Commuter,2018,"Drama, Mystery & Suspense, ","PG-13 (for some intense action/violence, and language)","Jaume Collet-Serra,","Byron Willinger,Phil de Blasi,Ryan Engle,","Jan 12, 2018",,,105 minutes,"Lionsgate,",3.3/5,"3,502","Liam Neeson,Vera Farmiga,Patrick Wilson,Jonathan Banks,Elizabeth McGovern,Sam Neill,","In this action-packed thriller, Liam Neeson is Michael, an insurance salesman, whose daily commute home quickly becomes anything but routine. After being confronted by a mysterious stranger (Vera Farmiga), Michael is blackmailed into finding the identity of a passenger on his train before the last stop. As he works against the clock to solve the puzzle, Michael is unwittingly caught up in a criminal conspiracy that carries life and death stakes for himself and his fellow passengers."
13,Star Wars: The Last Jedi,2017,"Action & Adventure, Drama, Science Fiction & Fantasy, ",PG-13 (for sequences of sci-fi action and violence),"Rian Johnson,","Rian Johnson,","Dec 15, 2017",,"$572,691,546",152 minutes,"Walt Disney Pictures,",3/5,"179,064","Daisy Ridley,Domhnall Gleeson,Adam Driver,Oscar Isaac,Benicio Del Toro,Mark Hamill,Gwendoline Christie,Carrie Fisher,Laura Dern,Lupita Nyong'o,John Boyega,","In Lucasfilm's Star Wars: The Last Jedi, the Skywalker saga continues as the heroes of The Force Awakens join the galactic legends in an epic adventure that unlocks age-old mysteries of the Force and shocking revelations of the past."
14,Insidious: The Last Key,2018,"Horror, ","PG-13 (for disturbing thematic content, violence and terror, and brief strong language)","Adam Robitel,","Leigh Whannell,","Jan 5, 2018",,"$29,581,355",103 minutes,"Universal Pictures,",3.3/5,"4,328","Lin Shaye,Angus Sampson,Leigh Whannell,Josh Stewart,Caitlin Gerard,Spencer Locke,Javier Botet,Kirk Acevedo,Bruce Davison,Tessa Ferrer,Ava Kolker,","Adam Robitel helms the fourth entry of the Insidious series, with Chapter 3 director Leigh Whannell providing the script, centering around parapsychologist Elise Rainier (Lin Shaye) and her continued voyage into the ""further""."
15,Forever My Girl,2018,"Drama, Musical & Performing Arts, Romance, ","PG (for thematic elements including drinking, and for language)","Bethany Ashton Wolf,","Bethany Ashton Wolf,","Jan 19, 2018",,,104 minutes,"Roadside Attractions and LD Entertainment,",4.5/5,757,"Alex Roe,Jessica Rothe,Abby Ryder Fortson,Judith Hoag,Travis Tritt,John Benjamin Hickey,Tyler Riggs,","Forever My Girl tells the story of country music super-star Liam Page (Alex Roe) who left his bride, Josie (Jessica Rothe), at the altar choosing fame and fortune instead. However, Liam never got over Josie, his one true love, nor did he ever forget his Southern roots in the small community where he was born and raised. When he unexpectedly returns to his hometown for the funeral of his high school best friend, Liam is suddenly faced with the consequences of all that he left behind."
16,Winchester,2018,"Drama, Mystery & Suspense, Science Fiction & Fantasy, ","PG-13 (for violence, disturbing images, drug content, some sexual material and thematic elements)","Michael Spierig,Peter Spierig,","Michael Spierig,Peter Spierig,Tom Vaughan,","Feb 2, 2018",,,,,,955,"Helen Mirren,Jason Clarke,Sarah Snook,Angus Sampson,Finn Scicluna-O'Prey,","Inspired by true events. On an isolated stretch of land 50 miles outside of San Francisco sits the most haunted house in the world. Built by Sarah Winchester, (Academy Award (R)-winner Helen Mirren) heiress to the Winchester fortune, it is a house that knows no end. Constructed in an incessant twenty-four hour a day, seven day a week mania for decades, it stands seven stories tall and contains hundreds of rooms. To the outsider it looks like a monstrous monument to a disturbed woman's madness. But Sarah is not building for herself, for her niece (Sarah Snook) or for the troubled Doctor Eric Price (Jason Clarke) whom she has summoned to the house. She is building a prison, an asylum for hundreds of vengeful ghosts, and the most terrifying among them have a score to settle with the Winchesters..."
17,A Fantastic Woman (Una mujer fantstica),2018,"Art House & International, Drama, ","R (for language, sexual content, nudity and a disturbing assault.)","Sebastin Lelio,","Sebastin Lelio,Gonzalo Maza,","Feb 2, 2018",,,100 minutes,,,946,"Daniela Vega,Francisco Reyes,Luis Gnecco,Aline Kppenheim,Nicols Saavedra,Amparo Noguera,Nestor Cantillana,Alejandro Goic,Antonia Zegers,Sergio Hernndez,","Marina and Orlando are in love and planning for the future. Marina is a young waitress and aspiring singer. Orlando is 20 years older than her, and owns a printing company. After celebrating Marina's birthday one evening, Orlando falls seriously ill. Marina rushes him to the emergency room, but he passes away just after arriving at the hospital. Instead of being able to mourn her lover, suddenly Marina is treated with suspicion. The doctors and Orlando's family don't trust her. A woman detective investigates Marina to see if she was involved in his death. Orlando's ex-wife forbids her from attending the funeral. And to make matters worse, Orlando's son threatens to throw Marina out of the flat she shared with Orlando. Marina is a trans woman and for most of Orlando's family, her sexual identity is an aberration, a perversion. So Marina struggles for the right to be herself. She battles the very same forces that she has spent a lifetime fighting just to become the woman she is now - a complex, strong, forthright and fantastic woman."
18,Bilal: A New Breed of Hero,2018,"Action & Adventure, Animation, Drama, Kids & Family, ",PG-13 (for violence/warfare and some thematic elements),"Ayman Jamal,Khurram H. Alavi,","Alex Kronemer,Michael Wolfe,Yassin Kamel,","Feb 2, 2018",,,105 minutes,"Vertical Entertainment,",,"6,291","Adewale Akinnuoye-Agbaje,Jacob Latimore,Ian McShane,China Anne McClain,Cynthia Kaye McWilliams,","A thousand years ago, one boy with a dream of becoming a great warrior is abducted with his sister and taken to a land far away from home. Thrown into a world where greed and injustice rule all, Bilal finds the courage to raise his voice and make a change. Inspired by true events, this is a story of a real hero who earned his remembrance in time and history."
19,Braven,2018,"Action & Adventure, Drama, ",R (for violence and for language throughout including some sexual references),"Lin Oeding,","Thomas Pa'a Sibbett,Michael Nilon,","Feb 2, 2018","Feb 2, 2018",,94 minutes,,,24,"Jason Momoa,Garret Dillahunt,Jill Wagner,Brendan Fletcher,Zahn McClarnon,Stephen Lang,","Jason Momoa takes no prisoners in this intense action-thriller. When Joe (Momoa) and his father (Stephen Lang) arrive at their remote hunting cabin, they're hoping for a quiet weekend. What they find is a stash of heroin, hidden in the cabin by drug traffickers. When the criminals suddenly descend upon the cabin, Joe and his father must make a kill-or-be-killed stand for survival."
20,Before We Vanish (Sanpo suru shinryakusha),2018,"Art House & International, Drama, Science Fiction & Fantasy, ",NR,"Kiyoshi Kurosawa,","Tomohiro Maekawa,","Feb 2, 2018",,,129 minutes,,,36,"Masami Nagasawa,Hiroki Hasegawa,Ryuhei Matsuda,Mahiro Takasugi,","In his twentieth film, acclaimed horror director Kiyoshi Kurosawa reinvents the alien movie as a unique and profoundly human tale of love and mystery. Three aliens travel to Earth on a reconnaissance mission in preparation for a mass invasion. Having taken possession of human bodies, the visitors rob the hosts of their essence - good, evil, property, family, belonging - leaving only hollow shells, which are all but unrecognizable to their loved ones. Equally hilarious, thrilling, and profound, BEFORE WE VANISH reminds audiences of the continued strength of one of Japanese cinema's most unique auteurs - and the value of the human spirit."
21,Geostorm,2017,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy, ","PG-13 (for destruction, action and violence)","Dean Devlin,","Dean Devlin,Paul Guyot,","Oct 20, 2017","Jan 23, 2018","$33,681,965",,"Warner Bros. Pictures,",2.8/5,"16,543","Gerard Butler,Jim Sturgess,Abbie Cornish,Alexandra Maria Lara,Daniel Wu,Eugenio Derbez,Amr Waked,Adepero Oduye,Andy Garcia,Ed Harris,Robert Sheehan,Richard Schiff,Mare Winningham,Zazie Beetz,Talitha Bateman,","A satellite designer (Gerard Butler) must race to avert a catastrpohe when the planet's climate control satellites begin to malfunction in this sci-fi action adventure from Warner Bros. and writer/producer/director Dean Devlin (making his feature directorial debut here). ~ Jason Buchanan, Rovi"
22,The Killing of a Sacred Deer,2017,"Drama, ","R (for disturbing violent and sexual content, some graphic nudity and language)","Yorgos Lanthimos,","Yorgos Lanthimos,Efthimis Filippou,","Oct 20, 2017","Jan 23, 2018","$1,955,883",119 minutes,"A24,",3.4/5,"8,155","Nicole Kidman,Colin Farrell,Barry Keoghan,Alicia Silverstone,Raffey Cassidy,Bill Camp,Denise Dal Vera,Sunny Suljic,","Dr. Steven Murphy (Colin Farrell) is a renowned cardiovascular surgeon presiding over a spotless household with his ophthalmologist wife Anna (Nicole Kidman) and their two exemplary children, 12-year-old Bob (Sunny Suljic) and 14-year-old Kim (Raffey Cassidy). Lurking at the margins of his idyllic suburban existence is Martin (Barry Keoghan), a fatherless teen who Steven has covertly taken under his wing. As Martin begins insinuating himself into the family's life in ever-more unsettling displays, the full scope of his intent becomes menacingly clear when he confronts Steven with a long-forgotten transgression that will shatter the Murphy family's domestic bliss."
23,Jigsaw,2017,"Drama, Horror, ","R (for sequences of grisly bloody violence and torture, and for language)","Michael Spierig,Peter Spierig,","Josh Stolberg,Peter Goldfinger,","Oct 27, 2017","Jan 23, 2018","$36,462,005",91 minutes,"Lionsgate,",4.7/5,"28,169","Matt Passmore,Callum Keith Rennie,Cl Bennett,Hannah Emily Anderson,Laura Vandervoort,Mandela Van Peebles,Paul Braunstein,Brittany Allen,Josiah Black,Edward Ruttle,Tobin Bell,","Thirteen years ago on Halloween weekend--SAW and the character of JIGSAW introduced the world to a new face of horror. For seven straight years ""If it's Halloween it must be SAW"" was a holiday tradition. This October 27, Lionsgate and Twisted Pictures proudly present JIGSAW! After a series of murders bearing all the markings of the Jigsaw killer, law enforcement find themselves chasing the ghost of a man dead for over a decade and embroiled in a new game that's only just begun. Is John Kramer back from the dead to remind the world to be grateful for the gift of life? Or is this a trap set by a killer with designs of their own?"
